Date,Bitcoin,Ethereum,Cardano,Litecoin
07.03.2023,"21064,1606","1480,9505","0,3133","81,8098"
06.03.2023,"20987,6339","1466,6799","0,3095","81,8084"
05.03.2023,"21118,1441","1472,5622","0,3172","84,6653"
04.03.2023,"21000,375","1472,2761","0,3158","83,8564"
03.03.2023,"21011,3365","1474,6246","0,3218","85,0279"
02.03.2023,"22149,2183","1554,2892","0,3302","89,7892"
01.03.2023,"22169,817","1558,95","0,3379","91,6415"
28.02.2023,"21895,6894","1518,8899","0,3334","88,6568"
27.02.2023,"22168,883","1539,6247","0,3437","88,6136"
26.02.2023,"22304,9542","1553,3747","0,3494","90,1937"
25.02.2023,"21914,6569","1507,9613","0,3427","88,1941"
24.02.2023,"21922,0229","1519,9528","0,3456","86,5173"
23.02.2023,"22592,1713","1557,6612","0,3614","89,361"
22.02.2023,"22808,0137","1549,3304","0,3666","89,7641"
21.02.2023,"22932,9766","1556,0034","0,3683","87,9383"
20.02.2023,"23210,3342","1592,3605","0,3775","89,8259"
19.02.2023,"22797,2296","1573,9225","0,3743","91,3198"
18.02.2023,"22991,1733","1577,7975","0,3796","93,0551"
17.02.2023,"22917,7734","1582,0617","0,3771","93,6379"
16.02.2023,"22130,2444","1535,9612","0,3635","92,8193"
15.02.2023,"22733,1393","1565,9649","0,3903","96,1663"
14.02.2023,"20702,6752","1450,7624","0,3599","89,0741"
13.02.2023,"20338,5681","1405,4559","0,3354","85,0424"
12.02.2023,"20382,7821","1416,8105","0,3406","86,4129"
11.02.2023,"20462,0396","1440,4589","0,3454","88,3605"
10.02.2023,"20257,8655","1417,8996","0,3357","87,5004"
09.02.2023,"20324,1166","1462,5556","0,3435","85,7158"
08.02.2023,"21416,0692","1541,3388","0,368","92,6046"
07.02.2023,"21687,2855","1558,857","0,372","94,1132"
06.02.2023,"21215,9339","1506,6933","0,3565","89,6038"
05.02.2023,"21283,1877","1513,4339","0,3639","89,3711"
04.02.2023,"21574,9034","1541,3618","0,3699","91,1894"
03.02.2023,"21692,4208","1539,8144","0,3744","92,486"
02.02.2023,"21540,0388","1508,6774","0,3653","90,5889"
01.02.2023,"21538,0035","1490,173","0,3608","91,242"
31.01.2023,"21310,8534","1461,2956","0,3605","86,8938"
30.01.2023,"21037,189","1444,1368","0,343","84,096"
29.01.2023,"21874,5564","1514,489","0,3647","87,5079"
28.01.2023,"21169,8892","1444,6557","0,3513","82,4306"
27.01.2023,"21215,6348","1469,6564","0,3581","81,689"
26.01.2023,"21133,0857","1470,9122","0,3486","80,3625"
25.01.2023,"21186,9582","1476,0857","0,3418","81,88"
24.01.2023,"20777,8271","1428,3289","0,3299","80,0548"
23.01.2023,"21109,8886","1498,1262","0,3454","82,857"
22.01.2023,"20919,5546","1499,8226","0,347","80,6905"
21.01.2023,"20940,3435","1495,675","0,3393","81,2066"
20.01.2023,"20833,7186","1525,6495","0,3341","83,2113"
19.01.2023,"19449,5131","1431,4976","0,313","77,6793"
18.01.2023,"19163,3415","1403,8675","0,3028","76,6871"
17.01.2023,"19632,5932","1454,87","0,321","80,8313"
16.01.2023,"19548,9739","1457,0978","0,3232","79,2549"
15.01.2023,"19284,0854","1433,5178","0,3236","80,6933"
14.01.2023,"19365,3728","1431,2599","0,3255","80,9343"
13.01.2023,"18337,1859","1337,5646","0,3184","79,5877"
12.01.2023,"17379,0512","1305,6429","0,3037","79,1122"
11.01.2023,"16654,4405","1288,8706","0,2999","78,2227"
10.01.2023,"16240,7523","1244,4474","0,3","75,3042"
09.01.2023,"16021,8451","1231,0645","0,2952","76,1431"
08.01.2023,"16005,8885","1205,0457","0,2753","72,4796"
07.01.2023,"15897,2775","1185,4527","0,2598","71,5942"
06.01.2023,"15899,8219","1190,5686","0,2615","71,2874"
05.01.2023,"16003,5024","1188,7612","0,2558","70,5742"
04.01.2023,"15895,8305","1183,9104","0,2521","71,1"
03.01.2023,"15817,7659","1151,8708","0,2397","71,7141"
02.01.2023,"15637,1655","1137,8196","0,2378","70,1539"
01.01.2023,"15394,9272","1111,955","0,2311","65,5311"
31.12.2022,"15426,3324","1115,8195","0,2295","65,2534"
30.12.2022,"15480,3807","1118,014","0,2289","63,3706"
29.12.2022,"15607,5759","1127,0637","0,2289","62,6128"
28.12.2022,"15569,4548","1118,9973","0,2338","62,411"
27.12.2022,"15715,0793","1140,0425","0,2448","64,6358"
26.12.2022,"15888,16","1152,3914","0,2491","66,3328"
25.12.2022,"15854,009","1147,3043","0,2441","65,1423"
24.12.2022,"15795,1904","1144,9371","0,2432","61,6379"
23.12.2022,"15746,3777","1143,9008","0,2432","61,6745"
22.12.2022,"15874,5014","1149,2752","0,2419","62,3576"
21.12.2022,"15847,7114","1143,1816","0,2384","61,6167"
20.12.2022,"15908,8224","1146,0929","0,2439","61,8531"
19.12.2022,"15493,9343","1100,63","0,2384","59,7746"
18.12.2022,"15849,0952","1121,1695","0,2522","61,1126"
17.12.2022,"15856,2987","1121,9867","0,2521","61,375"
16.12.2022,"15691,1","1100,3957","0,2485","62,488"
15.12.2022,"16320,8647","1189,6594","0,2819","67,948"
14.12.2022,"16689,258","1226,3802","0,2886","70,7092"
13.12.2022,"16731,8069","1242,394","0,2937","72,7662"
12.12.2022,"16327,8431","1209,5574","0,2912","72,3351"
11.12.2022,"16258,1644","1201,4","0,2926","72,8481"
10.12.2022,"16243,7295","1200,4603","0,2964","72,4283"
09.12.2022,"16251,9354","1198,6255","0,2955","72,3972"
08.12.2022,"16333,0554","1214,2297","0,2984","74,3561"
07.12.2022,"16028,4698","1172,9211","0,2953","73,3457"
06.12.2022,"16323,0675","1214,9514","0,3044","76,3185"
05.12.2022,"16171,5491","1199,8748","0,3044","76,446"
04.12.2022,"16255,2154","1214,8801","0,3063","73,2453"
03.12.2022,"16053,7664","1180,0427","0,3035","72,8117"
02.12.2022,"16212,7357","1227,6452","0,3031","73,9864"
01.12.2022,"16113,2765","1212,196","0,2987","73,6568"
30.11.2022,"16482,2373","1243,6812","0,3062","76,1806"
29.11.2022,"15934,8293","1179,1945","0,2998","73,6262"
28.11.2022,"15679,4288","1131,0929","0,2963","71,6435"
27.11.2022,"15865,9571","1153,6671","0,3013","72,3823"
26.11.2022,"15815,0777","1158,3162","0,3015","73,394"
25.11.2022,"15870,3928","1151,8011","0,3026","71,1543"
24.11.2022,"15939,3288","1155,9091","0,3038","75,802"
23.11.2022,"15951,5824","1136,4086","0,3058","75,9845"
22.11.2022,"15691,4955","1100,1491","0,3023","68,2421"
21.11.2022,"15416,1951","1082,5231","0,2975","59,9332"
20.11.2022,"15771,8255","1105,7418","0,3024","60,0757"
19.11.2022,"16159,1599","1178,2911","0,3176","61,7056"
18.11.2022,"16139,3465","1171,9983","0,3155","60,5363"
17.11.2022,"16100,0298","1158,203","0,3133","60,2984"
16.11.2022,"16033,2975","1169,4758","0,3198","55,3142"
15.11.2022,"16286,1946","1207,4205","0,3252","55,9698"
14.11.2022,"16116,7375","1203,3001","0,3214","54,7848"
13.11.2022,"15825,2676","1182,9105","0,3189","55,5651"
