Datum,Emittent,Pfandbriefart,Fälligkeit,Spread,,ausstehendes Volumen,Kupon,,ISIN
02.01.2024,NORD/LB,OePfe,18.01.2027,13,9,800000000,0,625,DE000NLB8739
02.01.2024,PBB,OePfe,29.05.2028,45,5,700000000,2,375,DE000A1R06C5
02.01.2024,PBB,HypPfe,25.08.2026,27,3,500000000,0,10,DE000A3E5K73
02.01.2024,PBB,HypPfe,13.10.2026,37,5,500000000,3,625,DE000A31RJS7
02.01.2024,PBB,HypPfe,14.04.2026,27,0,750000000,1,0,DE000A3T0YH5
02.01.2024,PBB,HypPfe,30.08.2027,40,0,600000000,0,625,DE000A2GSLV6
02.01.2024,PBB,HypPfe,19.01.2029,46,0,500000000,2,875,DE000A30WF68
02.01.2024,PBB,HypPfe,28.10.2027,44,4,500000000,3,625,DE000A31RJZ2
02.01.2024,PBB,HypPfe,01.03.2027,40,5,750000000,1,750,DE000A30WFU3
02.01.2024,PBB,OePfe,20.04.2035,48,0,800000000,1,250,DE000A13SWG1
02.01.2024,PBB,HypPfe,16.10.2025,20,2,500000000,0,10,DE000A2YNVM8
02.01.2024,PBB,HypPfe,25.01.2027,39,1,500000000,3,0,DE000A30WF27
02.01.2024,PBB,HypPfe,21.01.2028,42,7,750000000,0,100,DE000A2YNVY3
02.01.2024,SANTANCB,HypPfe,14.02.2030,10,8,500000000,0,50,XS2114143758
02.01.2024,SPK PFCW,HypPfe,11.05.2029,27,3,500000000,3,0,DE000A351TH2
02.01.2024,WUESTBSPK,HypPfe,19.10.2029,27,8,500000000,0,125,DE000WBP0BB8
02.01.2024,WUESTBSPK,HypPfe,20.10.2027,19,3,500000000,0,10,DE000WBP0A79
02.01.2024,WUESTBSPK,HypPfe,28.11.2028,32,6,500000000,3,375,DE000WBP0BK9
03.01.2024,Aareal Bank,HypPfe,18.05.2026,28,1,500000000,3,875,DE000AAR0397
03.01.2024,Aareal Bank,HypPfe,13.02.2026,16,5,750000000,3,125,DE000AAR0389
03.01.2024,Aareal Bank,HypPfe,11.10.2027,35,4,750000000,3,0,DE000AAR0371
03.01.2024,Aareal Bank,HypPfe,01.02.2029,39,0,750000000,1,375,DE000AAR0330
03.01.2024,Aareal Bank,HypPfe,15.07.2025,15,7,500000000,0,375,DE000AAR0215
03.01.2024,Aareal Bank,HypPfe,03.08.2026,27,5,500000000,0,10,DE000AAR0272
03.01.2024,Aareal Bank,HypPfe,01.02.2028,37,1,500000000,0,10,DE000AAR0280
03.01.2024,Aareal Bank,HypPfe,08.07.2027,33,7,500000000,0,10,DE000AAR0256
03.01.2024,Aareal Bank,HypPfe,15.09.2028,39,4,500000000,0,10,DE000AAR0306
03.01.2024,Aareal Bank,HypPfe,14.09.2029,40,7,625000000,2,375,DE000AAR0363
